#calName, ra, dec, zCal
J1351-2912, -152.054838479, -29.2049028361, 1.034
J1352-4412, -151.764437763, -44.2112187694, 0.05
J1353+1435, -151.6548346, 14.5942389, 0.807
J1354-1041, -151.306172146, -10.6840711806, 0.332
J1357-1527, -150.703145929, -15.4579963639, 1.031
J1357+1919, -150.73151393, 19.31871455, 0.719668
J1359+0159, -150.136877817, 1.99848973334, 1.327
J1400-1858, -149.983891696, -18.9697461333, 0.114
J1404-0013, -148.949483458, -0.223636388889, 1.221
J1405+0415, -148.745334104, 4.25994967222, 3.209
J1406-0848, -148.4970756, -8.80191126668, 1.763
J1408-0752, -147.764661654, -7.87407404167, 1.494
J1408-2900, -147.793276142, -29.0065578861, 0.575
J1408-5712, -147.89118525, -57.2148681111, -999
J1409-2657, -147.540959221, -26.9602723472, 2.43
J1410+0203, -147.480600142, 2.05192017222, 1.115
J1411+2134, 212.978593, 21.573177, 7e-06
J1415+1320, -146.004927042, 13.3399202389, 0.247
J1419+0628, -145.2159159, 6.4763343, 1.0
J1419+3821, -145.055776, 38.3634653, 1.831
J1419-0838, -145.156016354, -8.64226130278, -999
J1420-0642, -144.925176875, -6.70223642778, -999
J1421-1931, -144.596007933, -19.5219029389, 0.4
J1421-4820, -144.588972804, -48.3396656806, -999
J1424-4913, -143.865665275, -49.2304867333, 0.662
J1424-6807, -143.768510888, -68.1328040222, -999
J1426-0215, -143.268816146, -2.26230015278, -999
J1427+2348, -143.2483675, 23.8000104, 0.16
J1427-3305, -143.077661971, -33.0920849, 0.742
J1427-4206, -143.015426829, -42.1053993528, 1.522
J1430+1043, -142.459421742, 10.7241283278, 2.0
J1434+1952, -141.334194337, 19.86687105, 1.382
J1438-2204, -140.460544196, -22.0818745861, 1.187
J1438-3122, -140.455059696, -31.3745903694, 1.287
J1441-1523, -139.560761379, -15.3934072361, 2.64
J1445-1629, -138.527598767, -16.4837830917, -999
J1446+1721, -138.352723742, 17.3521058917, 1.024
J1448+0402, -137.790162129, 4.03885880278, 0.871
J1448-1620, -137.937274383, -16.3401524806, 2.414
J1449-0045, -137.680873958, -0.7553415, 0.3
J1450+0910, -137.370129454, 9.17443199722, 2.611
J1453+2648, -136.526664, 26.8092805, 0.479
J1454-3747, -136.385792683, -37.7925402222, 0.305
J1457-3539, -135.638701163, -35.6527698556, 1.424
J1458+0416, -135.252682454, 4.270505675, 0.391547
J1502-1508, -134.395760629, -15.1479223556, -999
J1504+1029, -133.895917571, 10.4942218139, 1.839
J1505+0326, -133.723011842, 3.44189237222, 0.409
J1507-1652, -133.230054325, -16.875074175, 0.876
J1510-0543, 227.723298, -5.718727, 1.185
J1510-0843, -132.272328846, -8.72258885278, 1.526
J1512+0203, -131.934409454, 2.05471648056, 0.219
J1512-0905, -131.789446125, -9.09995269444, 0.358
J1513-1012, -131.562944108, -10.2000735444, 1.513
J1514+0252, -131.3552729, 2.8801412, 0.822
J1514-4748, -131.3332309, -47.8082937639, 1.551
J1516+0015, -130.832420625, 0.250530222222, 0.052
J1516+1932, -130.763349292, 19.53694225, 1.07
J1517-2422, -130.575778617, -24.3720766944, 0.049
J1521+0420, -129.656068467, 4.34170456389, 0.052
J1522-2730, -129.3430167, -27.5029959833, 1.294
J1524-5903, -128.786987954, -59.0610328917, -999
J1531-5108, -127.067829887, -51.1499267083, -999
J1532+2344, -126.806895, 23.7347966667, 0.825154
J1532-1319, -126.810938637, -13.3194684972, -999
J1534+0131, -126.281443, 1.517835, 1.425
J1534-2243, -126.404994758, -22.7326748667, 0.4
J1534-3526, -126.272134954, -35.4398604833, 1.515
J1535-4730, -126.032328317, -47.5063828778, -999
J1536-3151, -125.772923958, -31.8542041944, -999
J1537+2300, -125.689579742, 23.0112531083, 0.463
J1540+1447, -124.793785342, 14.7960790639, 0.606
J1543-0757, -124.242970904, -7.95184422778, 0.172
J1546+0026, -123.460285579, 0.440170505556, 0.55
J1549+0237, -122.627346479, 2.6169898, 0.414
J1550+0527, -122.353045833, 5.45290222222, 1.422
J1550-8258, -122.253573888, -82.9685677111, -999
J1551-1755, -122.189173629, -17.9173130222, 1.32
J1553-2422, -121.618217458, -24.3683433278, 0.332
J1555+1111, -121.070649875, 11.1901016556, 0.36
J1555-4150, -121.174508621, -41.8421380833, -999
J1556-3302, -120.826807708, -33.0385323778, 0.066
J1557-0001, -120.535691788, -0.0306704972223, 1.77
J1559-2442, 239.922538, -24.710787, 2.813
J1600-5811, -119.948427067, -58.1841573889, -999
J1603-4904, -119.038814446, -49.0681958, 0.232
J1604-2223, -118.993867946, -22.3947192472, 0.141
J1604-4228, -118.801668833, -42.4692950833, -999
J1604-4441, -118.870746929, -44.6922147667, -999
J1606+1814, -118.433217517, 18.249949975, 0.037
J1607-3331, -118.1051569, -33.5191426056, -999
J1609-2205, 242.395553, -22.096279, -999
J1610-3958, -117.408837004, -39.9828689806, 0.518
J1613+3412, -116.578899, 34.213308, 1.0
J1614-3543, 243.640761, -35.724162, -999
J1617-1941, -115.637112217, -19.6922263556, 0.7
J1617-2537, -115.66428775, -25.6232378056, -999
J1617-5848, -115.67545375, -58.8021835, 1.422
J1617-7717, -115.54468165, -77.2884631917, 1.71
J1619+2247, -115.188230846, 22.7966252639, 1.987
J1619-1817, -115.180495292, -18.2893611111, -999
J1623+0741, -114.0072837, 7.6918196, 1.297
J1623-4501, 245.978293, -45.033197, -999
J1625-2527, -113.554618162, -25.4606463611, 0.786
J1626-2951, -113.47491315, -29.8574920084, 0.815
J1627-2426, -113.249974542, -24.4445740278, -999
J1629-1720, -112.680128712, -17.3452108306, -999
J1633-2557, -111.629622529, -25.9598555222, -999
J1634-2058, -111.373651125, -20.9738717222, -999
J1635+3808, -111.185445938, 38.134583475, 2.0
J1636-4102, -110.769268333, -41.0334764722, -999
J1641+2257, -109.64488515, 22.9511202333, 2.063
J1642+3948, -109.2549585, 39.8102760833, 0.592
J1647+2705, -108.110006812, 27.0995260194, 0.282
J1648+2224, -107.993601912, 22.4092077056, 0.823
J1650+0824, 252.656511, 8.414509, 2.0
J1650-5044, -107.430720425, -50.7467252472, -999
J1651+0129, -107.234740092, 1.48984956111, 0.4
J1652-0400, -106.964174317, -4.01002309722, -999
J1653+3107, -106.625372271, 31.1324645528, 1.0
J1653+3945, -106.532430496, 39.7601691417, 0.033
J1653-1551, -106.607473333, -15.8583022222, 0.0
J1656+1826, -105.857962142, 18.4406518278, 3.0
J1658+0741, -105.462452229, 7.69098345833, 0.621
J1658-0739, -105.316408375, -7.65491504445, 4.0
J1700-2610, -104.778524746, -26.1810348139, 0.519
J1703-6212, -104.097744896, -62.2111134556, 1.752
J1706-4600, -103.408123917, -46.0049511667, -999
J1708+0035, -102.8139688, 0.585976, 0.449
J1709-3525, -102.672223583, -35.4228336944, -999
J1711-3744, -102.164526804, -37.7377439306, -999
J1713-3418, -101.7085771, -34.3081740945, -999
J1717-3342, -100.599877592, -33.7024522111, -999
J1717-5155, -100.605450642, -51.9255348167, -999
J1718-1120, -100.437716387, -11.3458268333, -999
J1719+1745, -100.195631338, 17.7517881083, 0.137
J1720-3552, -99.909175, -35.8800355556, -999
J1728+0427, -97.8960303292, 4.45136496111, 0.293
J1728+1215, 262.029380, 12.260968, 0.586
J1730+0024, -97.3541689, 0.4107478, 1.335
J1733-1304, -96.7387258874, -13.0804300583, 0.902
J1733-3722, -96.686695517, -37.3756665417, -999
J1733-7935, -96.5804154958, -79.598810175, 0.876
J1740+2211, -94.9755713333, 22.1836037556, 1.406
J1742-1517, -94.4514047375, -15.2914331222, -999
J1743-0350, -94.0047661083, -3.83461575556, 1.054
J1743-1658, -94.2240903791, -16.9711020111, -999
J1743-3058, -94.17547175, -30.9718471389, -999
J1744-3116, -93.901757375, -31.2767477778, -999
J1744-5144, -93.8939364583, -51.7454851111, 0.63
J1745-0753, -93.6370627083, -7.884429875, -999
J1745-2900, -93.5831830416, -29.0078241945, -999
J1751+0939, -92.11325595, 9.65020234167, 0.322
J1751-1950, -92.0777344167, -19.8465289167, -999
J1752-2956, -91.8620502917, -29.9458110833, -999
J1753+2848, -91.573026492, 28.8013719167, 1.0
J1753-1843, 268.287869, -18.727367, -999
J1753-5015, -91.5894410041, -50.2540136834, -999
J1802-3940, -89.3221664249, -39.6688633834, 1.319
J1803-6507, -89.1520973, -65.1268781722, 1.198
J1804+0101, -88.9333975791, 1.02566849167, 1.522
J1809-4552, -87.5088677041, -45.8780594611, 0.07
J1812-0648, -86.7878253958, -6.80652099445, -999
J1812-2836, -86.8325322083, -28.6074846667, -999
J1816-3052, -85.9490014624, -30.8688908222, -999
J1819-6345, -85.1041557083, -63.7633903333, 0.064
J1820-1111, -84.9029686333, -11.1867398778, -999
J1820-2528, -84.7589638166, -25.4701622806, -999
J1822+1600, -84.458462621, 16.0041232111, -999
J1824+0119, -83.79940235, 1.32616723056, -999
J1825-0737, -83.5932934958, -7.62500398612, -999
J1825-1718, -83.5977820291, -17.3138468083, -999
J1825-5230, -83.6924591416, -52.5161892778, -999
J1826-2924, -83.4141704167, -29.4069313611, -999
J1826-3650, -83.4661244999, -36.8471111, 0.888
J1827-0405, -83.062331, -4.09571533333, -999
J1829-5813, -82.6983235039, -58.2319894167, 1.531
J1830+0619, -82.4752505458, 6.32109779167, 0.745
J1832-1035, -81.913181504, -10.586444825, -999
J1832-2039, -81.953972967, -20.6633898, 0.103
J1833-2103, -81.5836875, -21.0611336111, 2.102
J1834-0301, -81.4413555916, -3.02211871667, -999
J1834-5856, -81.3855272917, -58.9434089556, 0.16
J1835-1513, -81.2197271041, -15.2274898472, -999
J1837-3319, -80.6478810125, -33.3190996695, -999
J1837-7108, -80.630354292, -71.1454318583, 1.356
J1838+0404, -80.2965457333, 4.07351903889, -999
J1846-0651, -78.4737479124, -6.85770749723, -999
J1848+3219, -77.9079642666, 32.3173899417, 0.798
J1851+0035, -77.0553204369, 0.592323211111, -999
J1903-6749, -74.2448648334, -67.8266281667, 0.254
J1905+0952, -73.5837542167, 9.8690017, -999
J1907+0127, -73.200015979, 1.45248930833, -999
J1911-2006, -72.2097796042, -20.115308075, 1.119
J1912-0804, -71.9702965917, -8.07275085834, -999
J1914+1636, -71.439752225, 16.6108405528, -999
J1922+1530, -69.3554192291, 15.5027866028, -999
J1923-2104, -69.115875763, -21.0759258778, 0.874
J1924+1540, -68.8356008333, 15.6788725, -999
J1924-2914, -68.7872668333, -29.2417002778, 0.353
J1925+2106, -68.50164435, 21.1072672361, 0.0
J1928+0848, -67.8297687999, 8.81344800001, -999
J1930-6056, -67.4743329083, -60.9358844944, 3.254
J1933-6942, -66.6201672083, -69.7163651111, 1.481
J1935+2031, -66.2063628791, 20.5317095167, -999
J1937-3958, -65.6824276579, -39.9670981222, 0.965
J1938+0448, -65.372210175, 4.80322620833, -999
J1939-1525, -65.1389260833, -15.4286273056, 1.657
J1945-0153, -63.654913463, -1.88939746667, -999
J1945-5520, -63.6490472334, -55.3468997417, 0.015
J1951-0509, -62.0522147289, -5.16221165556, 1.083
J1952+2526, -61.7987751667, 25.4481901222, -999
J1953+3537, -61.6213512, 35.6331554, -999
J1955+1358, -61.2017859167, 13.9711781111, 0.743
J1957-3845, -60.5007529961, -38.7517655361, 0.63
J2000-1325, -59.824395383, -13.4259813694, 0.222
J2000-1748, -59.76212315, -17.816020175, 0.651
J2005-1822, -58.6779451834, -18.3675894889, 0.868
J2006-5011, 301.645007. -50.194295, -999
J2007+4029, 301.937270, 40.496834, 2.0
J2009-4849, -57.6442053333, -48.8315893333, 0.071
J2011-1546, -57.1845377916, -15.77784825, 1.18
J2015+3710, -56.1302926584, 37.1831988278, 0.859
J2019-5201, -55.2316913459, -52.0276284639, 1.717
J2023+3153, -54.170761071, 31.8839739167, -999
J2025+3343, -53.7048245125, 33.7167262444, 0.219
J2025-0735, -53.580581646, -7.59796911111, 1.388
J2027-4726, -53.0386545499, -47.4388140667, -999
J2031+1219, -52.020857221, 12.32815005, 1.0
J2035+1056, -51.1569445167, 10.9352189611, 0.601
J2039+2152, -50.1049658, 21.8693573, -999
J2040-5735, -49.995409125, -57.5860152556, -999
J2042-2255, -49.2739414209, -22.9333058889, 2.12
J2049-4020, -47.7082709417, -40.3419824139, -999
J2050+0407, -47.4739974829, 4.13024714167, -999
J2050+3619, -47.4904818, 36.3312506, -999
J2051+1743, -47.1017377581, 17.72691675, 0.195
J2052-5533, -46.9429782625, -55.5527899917, -999
J2056-3208, -45.895540683, -32.1466113556, -999
J2056-4714, -45.931834104, -47.2465632667, 1.489
J2056-5820, -45.8726453792, -58.335428275, 1.139
J2057-0719, -45.6623087083, -7.32767622778, 1.875
J2057-3734, -45.5766521833, -37.5674973722, 1.071
J2101+0341, -44.588191004, 3.69203355833, 1.013
J2101-2933, -44.7430833583, -29.5577322611, 1.492
J2105-4848, -43.7451745042, -48.8129232639, 1.041
J2106+2500, -43.3343408, 25.0159806, -999
J2109+3532, -42.6171719958, 35.5493326833, 0.202
J2109-4110, -42.6117142, -41.1723903889, 1.058
J2114+2832, -41.2569432, 28.5492212972, 2.345
J2121-6111, -39.7330242417, -61.1901734667, 1.0168
J2123+0535, -39.064510821, 5.58947028889, 2.0
J2124-4948, -38.8787034376, -49.8019086, -999
J2130-0927, -37.4204655625, -9.46039866111, 0.78
J2131-1207, -37.1030760329, -12.1179989194, 0.501
J2134-0153, -36.4570433541, -1.88812188611, 1.285
J2135-5006, -36.1660373167, -50.1143699917, 2.181
J2136+0041, -35.839223642, 0.698392427778, 1.936
J2138-2439, 324.654921, -24.665130, 0.819
J2139+1423, -35.244544708, 14.3933311722, 2.427
J2139-4235, -35.1492783708, -42.5890191056, 0.24
J2141-3729, -34.5314625, -37.4869419583, 0.423
J2141-6411, -34.556495242, -64.1873546833, -999
J2146-1525, -33.404252788, -15.4288571111, 0.698
J2147+0929, -33.2076543, 9.49629787223, 1.0
J2148+0657, -32.977255533, 6.96072339722, 0.791
J2151-2742, -32.1587287917, -27.7063914167, 1.485
J2151-3027, -32.0186500625, -30.4649161, 2.345
J2156-0037, -30.938508633, -0.617942913889, 0.495
J2157-6941, -30.7250809291, -69.6899126444, 0.028
J2158-1501, -30.4738254291, -15.0192577, 0.672
J2158-3013, -30.2830618958, -30.2255883778, 0.116
J2200+1030, -29.9669447416, 10.5021949722, 0.172
J2203+3145, 330.812400, 31.760630, 0.295
J2203-6130, -29.0015136875, -61.5061139611, -999
J2206-1835, -28.4565970917, -18.5940961778, 0.619
J2207-5346, -28.067777917, -53.7760610944, 1.206
J2208-6325, -27.803159925, -63.4298578361, 0.618
J2210+2013, -27.2847814416, 20.2233485556, 0.282
J2212+0152, 333.158219, 1.880883, 0.88
J2212+0646, -26.788169604, 6.76909475556, 1.12
J2213-2529, -26.7395917417, -25.4916890389, 1.833
J2214+0711, -26.4630767, 7.1951092, 0.95
J2216+3518, -25.9166254125, 35.3039389056, 0.51
J2217+2421, -25.746578412, 24.3627660806, 0.505
J2218+1520, -25.4545253875, 15.3432548583, 2.335
J2222+1213, -24.2792125, 12.2305024, 1.393
J2223-3137, -24.1598679583, -31.6172524167, -999
J2224-1126, -23.9668221792, -11.4391963306, 0.115
J2225-0457, -23.5530862671, -4.95038631667, 1.404
J2226+0052, -23.3060957417, 0.869814305556, 2.25
J2229-0832, -22.5829800001, -8.54845, 1.56
J2229-6910, -22.7492635458, -69.1750761556, -999
J2230-1325, -22.4362247874, -13.4285837611, 1.42
J2230-4416, -22.264820921, -44.27496975, 1.326
J2232+1143, -21.84827, 11.7307692, 1.037
J2235-4835, -21.1948475709, -48.5996651972, 0.506
J2236+2828, -20.9063715, 28.4826148, 0.795
J2236-1433, -20.857970187, -14.5561637917, 0.325
J2238+1242, -20.355813171, 12.7141061972, 0.426
J2239-5701, -20.1996836542, -57.0168998167, 0.569
J2241+0953, -19.5428445375, 9.89790135, 1.707
J2243-0609, -19.2134971458, -6.15071316389, 0.3
J2246-1206, -18.4240334583, -12.11424375, 0.631
J2247-3657, -18.2336777917, -36.9628621944, 2.252
J2248-3235, -17.8388094167, -32.5978300139, 2.268
J2253+1608, -16.509383575, 16.1482113528, 0.859
J2253+3236, -16.6979176, 32.6012018, 0.256
J2254+0054, -16.481641, 0.9058202, 0.658
J2257+0743, -15.677903658, 7.72008405833, 0.19
J2258-2758, -15.4751546667, -27.9725713056, 0.926
J2300+0337, -14.8296426, 3.6196775, 1.8
J2300+1655, -14.8208702, 16.9206643, 1.284
J2301-0158, -14.716756367, -1.96794049167, 0.778
J2303-1841, -14.2376000208, -18.690506225, 0.129
J2304+2331, -13.848181642, 23.5187808583, 1.0
J2306-0459, -13.43617875, -4.99674566667, 1.139
J2308+2008, -12.9515147, 20.1450542, 0.234
J2308-4557, -12.77984715, -45.9656086333, -999
J2309-3059, -12.6902857792, -30.9868289556, 1.38
J2315-5018, -11.0652900167, -50.3110288361, 0.808
J2316-4337, -10.9120840667, -43.6296988833, 1.847
J2320+0513, -9.81309750401, 5.23054238333, 0.623
J2323-0317, -9.11685935805, -3.28472883889, 1.41
J2324-3714, -8.97036737095, -37.2395709917, 0.37
J2326+0112, -8.39315100003, 1.2024145, 0.568
J2327+0940, -8.11008096251, 9.66929523889, 2.0
J2327+1524, -8.15847481305, 15.4103642667, 0.04597
J2328-4035, -7.91972980003, -40.5860684222, 1.972
J2329-4730, -7.67623185004, -47.5053096528, 1.30417
J2330-3724, -7.35085082106, -37.4105452917, 0.279
J2331-1556, -7.08894820833, -15.9491693889, 1.153
J2333-2343, 353.480158, -23.727961, 0.0477
J2334+0736, -6.44654931256, 7.60765326389, 0.401
J2335-0131, -6.16494969167, -1.51933094444, 1.184
J2336-4115, -5.85839546244, -41.2561066528, 1.406
J2336-5236, -5.94939757086, -52.606097225, 0.63
J2337-0230, -5.51108720002, -2.516008125, 1.072
J2343+2339, -4.19838737499, 23.66267995, 1.328
J2343-5626, -4.13709130831, -56.4400283917, 1.24
J2345-1555, -3.69807365838, -15.9188428361, 0.621
J2346+0930, -3.34650604995, 9.512643025, 0.673
J2348-1631, -2.989131125, -16.5200061667, 0.576
J2349+0534, -2.66228545414, 5.57774244167, 0.419
J2349-4932, -2.64425293336, -49.5407081361, 0.2
J2353-3037, -1.55225474168, -30.6301396861, 0.737
J2357-1125, -0.620010083333, -11.427549, 0.96
J2357-5311, -0.52805806697, -53.1871359583, 1.006
J2358+3922, -0.250603400003, 39.3745294, 1.198
J2358-1020, -0.454656649982, -10.3357253778, 1.638
J2359-3133, -0.102118554195, -31.5621734722, 0.99
