#calName, ra, dec, zCal
J0257-1212, 44.4208525917, -12.200383925, 1.391
J0259+0747, 44.8628192708, 7.79434527778, 0.893
J0301+0118, 45.348362475, 1.30999896667, 1.221
J0303-2407, 45.8604285083, -24.1198409667, 0.26
J0303-6211, 45.9609639833, -62.1904305056, 1.351
J0304+3348, 46.1723435, 33.8120918056, -999
J0309+1029, 47.2650979084, 10.4878725222, 0.863
J0309-6058, 47.4837464708, -60.9775156472, 1.48
J0313+4120, 48.2581755583, 41.3336620111, 0.136
J0315-1656, 48.8653267375, -16.9415871778, 0.7
J0317-2803, 49.3904137875, -28.0551701944, 1.166
J0319+4130, 49.9506671667, 41.5116960278, 0.018
J0325+2224, 51.403393, 22.400102, 2.0
J0326-3243, 51.5626911374, -32.7236183417, 0.699
J0327-1803, 51.9305898417, -18.0616744417, -999
J0329-2357, 52.4753148042, -23.9524369778, 0.895
J0334-4008, 53.5568937083, -40.1403883056, 1.445
J0336+3218, 54.1254483792, 32.3081506361, 1.258
J0336-1302, 54.1459825417, -13.0346278056, 1.303
J0336-3616, 54.2250979875, -36.2683955583, 1.538
J0339-0146, 54.87890745, -1.77661224722, 0.852
J0340-0254, 55.1358153875, -2.91506417778, -999
J0340-2119, 55.1483661, -21.3253255722, 0.223
J0342-3007, 55.6680951624, -30.132847325, -999
J0343-2530, 55.8313496791, -25.5048350722, 1.419
J0348-2749, 57.1589357208, -27.8204349111, 0.988
J0349-2102, 57.490944, -21.046595, 3.0
J0349-4858, 57.3039316667, -48.9735847222, -999
J0350-3232, 57.6804838875, -32.5498417167, 0.927
J0359-2615, 59.8903412292, -26.2587035028, 1.47
J0401+0413, 60.332971, 4.226224, 0.306
J0403+2600, 60.7732753, 26.0004174, 2.109
J0403-2444, 60.9239001876, -24.7356828556, 0.598
J0403-3605, 60.9739579168, -36.0838647556, 1.42284
J0406-3826, 61.7459805917, -38.4411228472, 0.875
J0407+0742, 61.8711946625, 7.70207572222, 1.133
J0407-1211, 61.95179575, -12.1935165111, 0.478
J0409+1217, 62.341703, 12.2944021, 0.504
J0411-5149, 62.9047916667, -51.8231528695, 1.257
J0412+1856, 63.1914341, 18.9436324, -999
J0416-1851, 64.152269, -18.852317, 1.536
J0416-2056, 64.018166, -20.940977, 0.808
J0418+3801, 64.58865515, 38.026611175, 0.048
J0422-0643, 65.5449810249, -6.72925835834, 0.242
J0423-0120, 65.8158363501, -1.34251820278, 0.916
J0424+0036, 66.1951752626, 0.601758177779, 0.31
