obj            B6
J1147-0724       9.63
J0319+4130       0.00
J0839+0104      15.12
J2301-0158       6.70
J0549-5246      15.05
J1703-6212       2.02
J1952+2526      12.10
J0141-0928       3.93
J1837-3319       0.00
J2151-3027       7.26
J1907+0127       9.68
J0149+1857       1.61
J1230+2518      11.64
J2025-0735      12.80
J1333+2725      14.21
J0309+1029       0.00
J2243-0609      14.11
J2146-1525       3.23
J0631+2020      13.96
J2147+0929      13.91
J2346+0930       3.23
J0022+0608      13.56
J2206-1835       1.81
J1243+1622       5.11
J1408-2900      13.41
J1745-2900       0.00
J2331-1556      13.31
J1130+0846      13.10
J0143-3200      12.92
J1103-3251      12.90
J1454-3747       6.45
J1216-1033      12.90
J1840+3900      12.89
J0243-0550       9.68
J1025+1253      12.50
J2343+2339       9.27
J2056-5820      12.50
J2009-4849       0.00
J1642+3948      12.23
J0849-3541      10.08
J1321-2636       7.26
J2056-3208      10.44
J0004-1148      12.00
J0103+1526      11.83
J1829+3957      11.56
J1246-2547       1.75
J0828-3731      11.42
J0725-2640      11.34
J0946+1017       0.00
J0940-6107       1.21
J0641-0320      11.29
J1457-3539       3.63
J1336-0829       8.47
J2101-2933      11.12
J1321-4342       5.64
J0010+1058       0.94
J1925+2106       9.27
J1407-4302       7.66
J1650-2943       8.57
J2316+1618      10.15
J2247-3657      10.08
J0808-0751       9.91
J1848+3219       3.23
J1217-0029       9.68
J2225-0457       0.00
J1146-2859       6.59
J1150-0023       8.40
J0058+0620       9.58
J2018-0509       9.54
J0403-2444       2.82
J2131-1207       3.43
J1325-4301       0.00
J1957-3845       5.34
J1709-3525       9.27
J0550-5732       9.27
J0908+1609       9.27
J1208-7809       9.27
J0134-3843       7.59
J0956+2515       9.17
J0149+0555       1.21
J2141-3729       5.24
J0210-5101       0.00
J0916+3854       0.00
J0106-2718       8.87
J1549+0237       4.84
J2158-1501       0.00
J1522+3144       8.57
J2330-3724       8.50
J0327-1803       8.47
J0125-0005       8.47
J0606-0724       8.47
J2216+3518       8.47
J0407+0742       4.44
J1248-4559       0.00
J0914+0245       8.37
J0151-1732       8.32
J2327+0940       3.53
J0526-4830       8.11
J0124-5113       5.24
J0056+1625       5.24
J1937-3958       6.05
J0840+1312       7.96
J2207-5346       7.93
J0927+3902       0.00
J0116-1136       2.55
J2005-1822       7.66
J1305-2850       7.66
