obj B3 B4 B5 B6 B7 B8 B9 B10
J2057-0719 0 0 0 0 0 0 0 0
J2126-4605 0 0 0 0 0 0 0 0
J2326+0112 0 0 0 0 0 0 0 0
J2327+1524 0 0 0 0 0 0 0 0
J1245-1616 0 0 0 0 844.1999999999998 0 0 0
J0141-0928 0 0 0 0 0 0 0 0
J1136-0330 0 0 0 0 0 0 0 0
J0317-2803 0 0 0 0 0 0 0 0
J0407-1211 0 0 0 0 0 0 0 0
J1132-5606 0 0 0 0 0 0 0 0
J0113+0222 0 0 0 0 0 0 0 0
J1359+0159 0 0 0 362.59999999999997 0 0 0 0
J2239-5701 0 0 0 0 0 0 0 0
J1820-1111 0 0 0 0 0 0 0 0
J0842+1835 0 0 0 0 0 0 0 0
J1928+0848 0 0 0 0 0 0 0 0
J2253+3236 0 0 0 0 0 0 0 0
J0641-0320 0 0 0 0 0 0 0 0
J0837+2454 0 0 0 0 0 0 0 0
J0348-2749 332.7 907.3 0 604.7 0 0 0 0
J1745-0753 0 0 0 0 0 0 0 0
J2134-0153 0 0 0 0 0 0 0 0
J0153-3310 0 0 0 0 0 0 0 0
J1405+0415 0 0 0 0 0 0 0 0
J0058-5659 0 0 0 0 0 0 0 0
J1407-4302 0 0 0 0 0 0 0 0
J1648+2224 0 0 0 0 0 0 0 0
J0942-0759 0 0 0 0 0 0 0 0
J0511-6806 423.8 0 0 0 0 0 0 0
J0051-0650 0 0 0 0 0 0 0 0
J1640-3727 0 0 0 0 0 0 0 0
J1834-5856 0 0 0 0 0 0 0 0
J1336-0829 0 0 0 0 0 0 0 0
J1018-3123 0 0 0 0 0 0 0 0
J0840+1312 0 0 0 0 0 0 0 0
J1047-6217 0 0 0 0 0 0 0 0
J1657-2004 0 0 0 0 0 0 0 0
J0625+1440 0 0 0 0 0 0 0 0
J0112+2244 0 0 0 0 0 0 0 0
J1415+1320 0 0 0 0 0 0 0 0
J0112-6634 0 0 0 0 0 0 0 0
J1631-4345 0 0 0 0 0 0 0 0
J2146-7755 0 0 0 0 0 0 0 0
J1755-5536 0 0 0 0 0 0 0 0
J0748+2400 0 0 0 0 0 0 0 0
J2255-0844 0 0 0 0 0 0 0 0
J1813+2952 0 0 0 0 0 0 0 0
J0137-2430 0 0 0 0 0 0 0 0
J0525-2338 0 0 0 0 0 0 0 0
J0139+1753 0 0 0 0 0 0 0 0
J2358+1955 0 0 0 0 0 0 0 0
J0040-4253 0 0 0 0 0 0 0 0
J0431+1731 0 0 0 0 0 0 0 0
J2321+2732 0 0 0 0 0 0 0 0
J1647+2705 0 0 0 0 0 0 0 0
J0702-1015 0 0 0 0 0 0 0 0
J2052-5533 0 0 0 0 0 0 0 0
J0842-6053 0 0 0 0 0 0 0 0
J2253+1608 316.2 318.59999999999997 0 302.4 961.2000000000002 0 0 0
J1623+0741 0 0 0 0 0 0 0 0
J1633-2557 0 0 0 0 0 0 0 0
J0534-6106 0 0 0 0 0 0 0 0
J1421-4820 0 0 0 0 0 0 0 0
J0259+0747 665.2 0 0 0 0 0 0 0
J2049-4020 0 0 0 0 0 0 0 0
J0411-5149 0 0 0 0 0 0 0 0
J1353+1435 0 0 0 0 0 0 0 0
J2051+1743 0 0 0 0 0 0 0 0
J1933-6942 0 0 0 0 0 0 0 0
J1939-1525 0 0 0 0 0 0 0 0
J1826-3650 0 0 0 0 0 0 0 0
J0818+0517 0 0 0 0 0 0 0 0
J1513-1012 0 0 0 0 0 0 0 0
J1728+1215 0 0 0 0 0 0 0 0
J1006+0509 0 0 0 0 0 0 0 0
J0045-3705 423.5 0 0 0 0 0 0 0
J1045+1735 0 0 0 0 0 0 0 0
J0343-2530 0 0 0 0 0 0 0 0
J1126-3828 0 0 0 0 0 0 0 0
J0931+1414 0 0 0 0 0 0 0 0
J1835-1513 0 0 0 0 0 0 0 0
J1512+0203 0 0 0 0 199.6 1072.6000000000001 0 0
J1150+2417 0 0 0 516.0 0 0 0 0
J0057-7040 0 0 0 0 0 0 0 0
J1006-5018 0 0 0 0 0 0 0 0
