obj B3 B4 B5 B6 B7 B8 B9 B10
J0536-3401 1451.0 90.7 0 1800.3000000000004 338.9 0 0 0
J0303-2407 967.8 0 0 363.0 0 0 0 0
J0050-0452 302.4 0 0 1178.7 709.4 0 0 0
J0604+2429 2087.2 0 0 0 0 0 0 0
J1745-2900 0 0 0 937.4000000000001 1187.7 0 0 0
J1316-3338 4484.499999999999 0 0 12717.199999999999 5061.400000000001 1608.3 0 0
J0108+0135 4300.099999999999 1542.6999999999998 201.9 3628.3999999999996 12208.700000000003 434.0 0 0
J1457-3539 653.2000000000003 1190.9000000000003 520.5 975.9000000000001 0 0 0 0
J1257-3155 592.4000000000001 0 0 211.6 0 0 0 0
J0644+3914 181.7 0 0 0 0 0 0 0
J0424+0036 199.70000000000002 0 0 0 0 0 0 0
J1256-0547 51851.000000000015 9081.4 8008.200000000001 88939.2 88609.99999999999 46806.0 14274.100000000002 318.59999999999997
J1711-3744 0 0 0 2400.9000000000015 0 0 0 0
J0505+0459 0 0 0 121.0 0 306.29999999999995 0 0
J2004-6347 0 60.6 0 181.4 0 0 0 0
J2206-1835 1693.7000000000003 0 0 1255.1999999999998 2933.1999999999994 0 0 0
J1730+0024 530.2 151.1 725.8 641.2 362.9 0 0 0
J0215-0222 2074.3999999999996 0 0 3224.100000000001 1500.7999999999997 0 0 0
J1642+3948 0 0 0 786.2 0 0 0 0
J2304+2331 0 423.9000000000001 0 0 0 0 0 0
J1912-0804 362.9 0 0 5898.000000000002 0 0 0 0
J0737-1534 1378.500000000001 0 0 0 0 0 0 0
J1635+3808 120.9 0 0 306.8 0 0 0 0
J2303-1841 90.6 0 0 1747.7000000000003 0 0 0 0
J0541-0211 7516.400000000006 1367.1000000000001 0 5406.799999999999 7909.500000000003 0 0 0
J2335-0131 877.1 271.9 0 2781.7999999999997 0 0 0 0
J0437-7148 1348.8 0 0 423.4 0 0 0 0
J1728+0427 0 0 0 211.6 0 302.3 1298.1 0
J1510-0843 0 227.79999999999998 0 197.49999999999997 197.6 0 0 0
J0909+0121 8986.899999999998 469.6 1237.8 4089.3000000000015 8951.5 2593.0000000000005 350.7 0
J1016+0513 2643.2000000000016 0 0 60.4 0 0 0 0
J1130+0846 0 0 0 1149.200000000001 0 0 0 0
J0004+2019 907.1999999999999 0 0 211.70000000000002 0 0 0 0
J1157+1638 76.7 423.70000000000005 0 2826.3999999999996 308.4 0 0 0
J0016-0015 453.5 0 0 0 0 0 0 0
J2057-0719 6174.400000000005 288.0 0 121.0 362.9 0 0 0
J2126-4605 0 0 0 0 338.5999999999999 0 0 0
J2326+0112 574.5 0 0 0 0 0 0 0
J2327+1524 60.6 0 320.59999999999997 1644.5000000000005 584.8 0 0 0
J1245-1616 566.4 0 0 272.2 3841.6999999999994 0 0 0
J0141-0928 2085.0 423.4 231.89999999999998 1241.6999999999998 1765.6 5741.000000000002 0 0
J1136-0330 241.9 0 0 0 0 0 0 0
J0317-2803 2788.9999999999995 0 0 320.5 0 0 0 0
J0407-1211 1712.3999999999999 1209.5 123.00000000000001 151.1 0 229.7 0 0
J1132-5606 526.3000000000001 0 151.0 2467.7000000000016 2733.9000000000015 0 0 0
J0113+0222 167.29999999999998 0 0 453.59999999999997 0 215.2 0 0
J1359+0159 1990.5000000000002 332.7 0 1739.9000000000003 804.5000000000001 0 0 0
J2239-5701 1527.9999999999998 0 0 241.79999999999998 737.5 0 0 0
J1820-1111 0 0 0 90.7 0 0 0 0
J0842+1835 1028.4 0 0 0 0 0 0 0
J1928+0848 0 0 0 161.0 0 0 0 0
J2253+3236 635.5 0 0 0 0 0 0 0
J0641-0320 905.2 352.6 0 919.6 229.49999999999997 0 0 0
J0837+2454 741.6999999999999 227.7 0 0 0 0 0 0
J0348-2749 5928.899999999999 10530.9 1841.2999999999997 42376.39999999997 29832.800000000003 2653.2 229.7 0
J1745-0753 332.8 0 0 0 0 0 0 0
J2134-0153 5260.8 1681.8999999999999 846.6 4191.9 1415.9 0 846.6 0
J0153-3310 0 0 0 122.89999999999999 0 0 0 0
J1405+0415 0 151.2 0 90.7 0 0 0 0
J0058-5659 907.3 0 0 0 153.2 0 0 0
J1407-4302 0 0 0 786.3 889.4000000000007 0 0 0
J1648+2224 181.39999999999998 453.4 0 120.9 167.29999999999998 0 0 0
J0942-0759 0 0 0 544.5 720.6 0 0 0
J0511-6806 1906.9 0 0 241.69999999999996 0 0 0 0
J0051-0650 0 0 0 394.2 324.6000000000001 0 0 0
J1640-3727 0 0 0 1034.000000000001 0 0 0 0
J1834-5856 0 0 0 0 153.10000000000002 0 0 0
J1336-0829 0 0 0 846.5 2478.2 0 0 0
J1018-3123 0 0 0 307.3 120.9 0 0 0
J0840+1312 844.1999999999999 0 0 620.8 0 0 0 0
J1047-6217 4164.4 0 0 12647.600000000004 913.2 5978.6 0 0
J1657-2004 0 0 0 2450.8999999999996 0 0 0 0
J0625+1440 0 123.10000000000001 0 0 253.89999999999992 0 0 0
J0112+2244 0 0 0 121.2 0 0 0 0
J1415+1320 392.90000000000003 181.6 201.9 332.59999999999997 1483.4 0 0 0
J0112-6634 671.7 0 0 211.8 2521.6000000000004 0 0 0
J1631-4345 363.20000000000005 0 0 0 0 0 0 0
J2146-7755 0 0 0 453.6 0 0 0 0
J1755-5536 60.4 0 0 0 0 0 0 0
J0748+2400 1699.0000000000005 90.8 633.4 1718.100000000001 386.7 0 0 0
J2255-0844 181.5 0 0 0 0 0 0 0
J1813+2952 0 0 0 60.5 0 0 0 0
J0137-2430 3162.0999999999995 0 0 409.1 818.5 1888.6999999999998 0 0
J0525-2338 0 0 0 90.8 0 0 0 0
J0139+1753 0 455.8 0 1480.3999999999996 0 0 0 0
J2358+1955 362.9 0 0 0 0 0 0 0
J0040-4253 60.5 0 0 0 0 0 0 0
J0431+1731 2668.8 106.9 0 7635.300000000005 2129.3 0 0 0
J2321+2732 0 0 0 60.4 0 0 0 0
J1647+2705 543.8000000000002 0 0 76.6 0 0 0 0
J0702-1015 0 0 0 1299.8999999999999 0 0 0 0
J2052-5533 651.1999999999999 0 0 0 0 0 0 0
J0842-6053 1569.4999999999998 0 0 0 666.0 0 0 0
J2253+1608 32988.400000000016 8896.3 1702.8 49446.600000000035 50054.899999999994 34706.3 6540.1 485.99999999999994
J1623+0741 241.8 0 0 0 0 0 0 0
J1633-2557 5273.300000000004 0 272.2 9959.900000000005 0 0 0 0
J0534-6106 151.2 0 0 0 0 0 0 0
J1421-4820 0 0 0 229.7 0 0 0 0
J0259+0747 1390.8 0 0 197.49999999999997 483.7 0 0 0
J2049-4020 484.0 0 0 0 0 0 0 0
J0411-5149 1028.3 121.0 0 0 0 0 0 0
J1353+1435 219.6 211.7 0 0 211.7 0 0 0
J2051+1743 720.4 0 0 3040.3000000000006 1078.1 0 0 0
J1933-6942 0 0 0 181.5 121.1 0 0 0
J1939-1525 363.0 0 0 453.6 249.20000000000002 0 0 0
J1826-3650 60.5 0 0 2042.9000000000008 153.20000000000002 0 0 0
J0818+0517 302.4 0 0 0 0 0 0 0
J1513-1012 60.5 0 0 0 0 0 0 0
J1728+1215 121.0 0 0 0 0 0 0 0
J1006+0509 0 0 0 121.1 0 0 0 0
J0045-3705 4133.3 90.6 0 2115.2999999999997 0 0 0 0
J1045+1735 60.5 0 0 413.4 121.0 0 0 0
J0343-2530 471.69999999999993 0 0 0 0 0 0 0
J1126-3828 595.0 0 0 2117.7 0 0 0 0
J0931+1414 0 0 0 151.3 0 0 0 0
J1835-1513 1034.1000000000008 0 0 0 0 0 0 0
J1512+0203 782.0 334.7 362.6 258.1 995.9 5266.400000000001 0 0
J1150+2417 2215.5 197.39999999999998 0 1975.9000000000003 726.2 0 0 0
J0057-7040 181.29999999999998 0 0 0 0 0 0 0
J1006-5018 0 0 0 403.09999999999997 211.89999999999998 0 0 0
J0440-6952 937.4 0 0 7923.099999999999 1461.0 0 0 0
J1039-1541 60.4 0 0 380.9 0 0 0 0
J2348-1631 60.5 0 0 3362.300000000001 12846.000000000004 0 0 0
J0121+0422 0 0 0 348.0 121.0 0 0 0
J1634-2058 0 729.3 0 1401.2000000000003 925.0999999999999 0 0 0
J2308-4557 0 0 0 181.4 0 0 0 0
J0216-1017 60.5 0 0 0 0 0 0 0
J1716+2152 0 0 0 0 313.40000000000003 0 0 0
J1504+1029 2442.7999999999997 2249.5 202.0 199.7 852.2 0 0 1048.3000000000002
J0110-0741 544.3 604.5 0 151.2 0 0 0 0
J1903-6749 0 0 0 544.5 0 0 0 0
J0747-3310 2133.5 0 0 1723.8 0 520.1 0 0
J0522-3627 77219.60000000002 13054.399999999996 3697.0 135862.59999999974 136269.79999999993 51933.700000000004 18137.8 0
J0746-1555 0 0 0 0 0 181.4 0 0
J1424-7241 0 0 0 123.10000000000001 0 0 0 0
J1000+0005 12744.600000000006 211.7 0 1379.2000000000007 0 0 0 0
J0040-3243 3780.3999999999996 4639.099999999999 1532.0 1628.3999999999999 245.89999999999998 0 0 0
J1947-0103 60.4 0 0 0 0 0 0 0
J0526-4830 0 0 0 695.4 1867.3000000000002 0 0 0
J2005-1822 181.4 0 0 574.4 0 0 0 0
J0710-3850 0 0 0 362.9 0 0 0 0
J1315-5334 2497.700000000001 0 0 302.3 0 0 0 0
J1150-0023 968.1999999999999 0 0 695.1999999999999 847.0999999999999 0 0 0
J2218-0335 0 0 0 0 278.2 362.70000000000005 0 0
J0010+1058 151.20000000000002 876.7 0 923.5000000000001 475.2 0 0 0
J1809-4552 0 0 0 122.9 0 0 0 0
J1028+0255 181.29999999999998 0 0 0 0 0 0 0
J0241-0815 4643.0999999999985 294.5 413.7 5557.4 12326.200000000003 16368.299999999997 0 0
J1044+0655 1447.3999999999999 0 0 2430.500000000001 0 0 0 0
J2357-1125 930.1 0 0 0 0 0 0 0
J1537+2300 937.2 453.70000000000005 0 483.59999999999997 0 0 0 0
J1155-8101 60.5 0 0 0 0 0 0 0
J0930+0034 846.9 0 0 151.4 169.5 1497.1 0 0
J0506-6109 2058.1000000000004 0 0 272.3 887.5000000000001 0 0 0
