obj            B7
J2216-1124       0.00
J0418+3801       2.82
J0451-4653       2.82
J1353+1435       2.82
J1549+0237       2.82
J0348-1610       2.82
J1452-1319       2.82
J1006-5018       2.82
J2156-0037       2.82
J2126-4605       2.82
J0406-3826       2.82
J1717-5155       2.82
J0010+1724       0.00
J1232-0224       2.82
J1510-0843       2.82
J0536-3401       0.00
J1822+1600       2.82
J0040-0146       2.80
J0547+1223       2.62
J0631+2020       2.62
J0057+3021       2.47
J0607-6031       2.47
J1716+2152       2.47
J1555+1111       2.47
J0846-2607       2.42
J0058-3234       2.35
J1648+2224       2.35
J0231+1322       2.35
J0030-4224       2.35
J2131-1207       2.34
J0552+3754       2.28
J2254+0054       2.15
J0040-3243       2.12
J0641-0320       0.00
J2000-1325       2.12
J1939-1525       2.12
J2218-0335       0.00
J2315-5018       2.02
J1709-3525       2.02
J1107-3043       2.02
J0517-0520       2.02
J1104-2431       2.02
J0151-1732       1.92
J2040-5735       1.88
J0058-5659       1.88
J1404-0013       1.88
J1826-3650       1.88
J0121+0422       1.88
J0930+0034       1.88
J2217+2421       1.76
J1025+1253       1.76
J0051-0650       1.76
J2349-4932       1.76
J0133-5200       1.63
J1933-6942       1.61
J1045+1735       1.61
J0220+3241       1.61
J1224+2122       1.61
J0117+1418       1.61
J1707+0148       1.61
J1905+0952       1.61
J2158-3013       1.61
J0921-2618       1.61
J1018-3123       1.61
J1907+0907       0.00
J1834-5856       1.41
J1246-0730       1.41
J2358-1020       0.00
J1152-0841       1.41
J0211+1051       1.41
J0449+1121       0.00
J2141-3729       1.21
J0433+0521       0.00
J0113-3551       1.06
J1458+0416       1.06
J0608-5456       1.06
J0245-4459       1.06
J1322-6532       1.06
J0049-4457       1.06
J0149+0555       0.94
J2336-5236       0.94
J0422+3058       0.00
J1136-6827       0.81
J2327+0940       0.81
J0512+2927       0.81
J1157+1638       0.74
J2151-3027       0.71
J2101-2933       0.71
J1753+2848       0.71
