obj            B7
J1058+0133     800.08
J1924-2914      79.12
J1517-2422     293.99
J1427-4206     158.68
J0510+1800     217.63
J0522-3627     177.52
J0006-0623     172.37
J1256-0547      19.35
J0423-0120     328.58
J1229+0203      20.54
J1337-1257      95.60
J0854+2006      19.97
J2258-2758     129.05
J0519-4546     117.74
J1751+0939     141.63
J2253+1608      55.06
J1733-1304     179.67
J0538-4405     176.50
J1037-2934     234.47
J0948+0022     443.65
J0334-4008     271.12
J2148+0657     174.59
J0238+1636     210.20
J2056-4714     122.28
J0348-2749     250.11
J0725-0054      16.86
J2232+1143      52.43
J1321-4342      42.94
J1626-2951      75.97
J0237+2848     150.42
J1744-3116     183.56
J1625-2527     189.75
J1617-5848      71.16
J1107-4449     130.01
J0635-7516     168.88
J0541-0541      85.69
J0607-0834      71.68
J1610-3958     121.77
J0217-0820     137.98
J0108+0135      37.39
J1832-2039     143.55
J0152+2207       5.64
J1604-4441      47.22
J2348-1631      76.19
J1010-0200     161.62
J0038-2459     124.63
J0217+0144     100.05
J1008+0621     140.85
J0241-0815     131.67
J0529-7245      66.23
J0909+0121      80.15
J0336+3218      97.91
J1717-3342      63.09
J2357-5311     100.98
J1147-3812      62.08
J1058-8003      73.28
J0750+1231      60.58
J1650-5044      69.71
J0541-0211      95.14
J0224+0659      47.12
J0904-5735       4.84
J0342-3007      97.04
J0438+3004      59.81
J1911-2006      74.34
J1733-3722      57.34
J1550+0527      49.80
J1938+0448      40.48
J0239-0234      71.12
J0552+0313      65.82
J0439-4522      67.27
J0143-3200      50.97
J0521+2112      15.59
J1700-2610      20.19
J1316-3338       5.39
J1028-0236      56.04
J0407+0742      44.60
J1245-1616      15.51
J0329-2357      52.68
J0125-0005      36.83
J1351-2912      33.47
J1851+0035      45.85
J0542-0913       5.24
J0339-0146      39.11
J0550-5732      51.66
J2323-0317      16.85
J1830+0619      46.45
J1826-2924      41.74
J1534-3526      51.19
J1347+1217      46.54
J0340-2119      24.65
J0426+2327      50.70
J2229-0832      17.40
J2301-0158      39.13
J0531-4827      48.87
J0516-6207      34.88
J0922-3959      12.90
J0643+0857      42.89
J1342-2900      46.80
J0440+1437      46.79
J1651+0129      45.16
J2353-3037      44.37
J0730-1141      27.52
J0927+3902       0.00
J1103-3251      27.96
J1329-5608      16.13
J0825+0309      25.92
J1148+1840      41.33
J1239+0730       8.00
J2206-1835       1.41
J1147-6753      17.49
J1636-4102       3.23
J1452-6502       0.00
J0701-4634      39.00
J0914+0245      35.56
J1833-2103       0.00
J1604-4228       7.31
J0433+2905      37.70
J1048-1909      37.44
J0309-6058      27.06
J1410+0203      34.19
J1802-3940      14.92
J2206-0031      35.23
J2000-1748       9.58
J2226+0052      34.27
J0121+1149       4.44
J1002+1216      33.16
J1553-2422      19.35
J0210-5101       0.00
J1215-1731      19.11
J0457-2324      14.51
J1516+1932      22.40
J0017-0512      29.77
J1230+1223      29.25
J1127-1857      10.23
J1332+0200      11.80
J1336-0829       4.23
J1743-0350      10.08
J2146-1525      16.98
J0431+1731      25.98
J0112-6634      25.80
J2359-3133      25.47
J2101+0341      25.03
J1450+0910      25.00
J1424-6807      13.84
J1743-3058       3.23
J2235-4835      22.61
J1415+1320      23.62
J1935+2031      23.59
J0215-0222      23.40
J0501-0159      20.56
J2246-1206      22.90
J1838+0404      22.58
J0403+2600      16.44
J0106-4034       0.00
J1303-5540      20.47
J1955+1358      11.04
J0521+1638       0.00
J2134-0153      20.00
J1218-0119      14.26
J1331+3030      17.42
J0743-3803      19.49
J0453-2807      19.35
J0103-6439      16.46
J1745-2900       0.00
J1327+2210      19.03
J1742-1517      18.68
J0132-1654      18.55
J0253-5441      15.56
J1957-3845      10.89
J1041+0610      15.64
J0839+0104      16.50
J1103+1158      17.68
J1032-5917      17.54
J0830+2410      16.93
J1832-1035      16.93
J1224+0330      16.80
J0440-6952      16.68
J0243-0550      16.40
J0141-0928       9.73
J0208-0047      16.12
J1619+2247      16.03
J2337-0230      15.76
J0303-6211      12.77
J0425-5331      14.85
J2051+1743      14.57
J0526-4830      14.41
J1650-2943       7.26
J0120-2701       3.29
J1524-5903      13.51
J0137-2430       2.76
J0539+1433      13.06
J1209-2406      12.90
J2230-4416      12.70
J1047-6217      12.57
J0613+2604      12.50
J2236-1433      11.68
J0532+0732      12.43
J0126-0120      12.24
J1145-6954      12.23
J2308+2008       0.00
J1634-2058      11.69
J0431+2037      11.69
J0757+0956      11.64
J1419+3821       0.00
J2358-4555      11.29
J1326-5256      11.29
J1307-5019      11.29
J1159+2914       7.80
J0403-2444      10.96
J1438-3122      10.89
J1258-2219      10.89
J1215+1654      10.58
J1446+1721      10.48
J0739+0137      10.47
J1359+0159      10.38
J1254-6111       0.71
J0601-7036      10.24
J0200+0322       0.00
J0831+0429       8.17
J1118+1234      10.11
J0613+1708       3.23
J2331-1556       0.00
J1319-0049       0.94
J1246-2547       9.88
J1222+0413       7.85
J0654-1053       9.74
J1019-6047       9.74
J1041-6431       9.74
J1038-5311       9.74
J1150+2417       9.68
J1330-3122       9.68
J1254-4424       9.68
J1512+0203       3.88
J1150-0023       9.41
J0506-6109       9.37
J1130-1449       9.17
J2207-5346       8.92
J2225-0457       0.00
J0842-6053       8.87
J2248-3235       8.82
J0422-0643       8.70
J1147-0724       8.57
J1703-6212       8.57
J1751-1950       8.57
J2136+0041       8.47
J0532-0307       8.47
J2035+1056       8.47
J1504+1029       5.64
J1922+1530       8.47
J0205+3212       8.47
J0853+0654       8.22
J1131-0500       8.06
J2345-1555       7.96
J1337-6509       7.71
J1540+1447       7.66
J0746+2734       7.65
J1427+2348       7.53
J2320+0513       7.53
J0440-4333       1.06
J1254+1141       7.48
J1407-4302       7.46
J2157-6941       0.00
J2239-5701       7.26
J0116-1136       7.26
J0609-1542       7.06
J1505+0326       6.82
J0956+2515       4.18
J2025-0735       4.45
J1132-5606       6.45
J0547+2721       6.45
J2141-6411       6.45
J0239+0416       0.00
J0942-0759       6.40
J2349+0534       6.23
J1453+2648       6.18
J1038+0512       6.12
J2327+1524       6.10
J1516+0015       0.00
J1325-4301       0.00
J2056-3208       5.85
J1008-0933       0.00
J1305-1033       5.64
J2009-4849       5.64
J0019+2021       5.64
J0259+0747       5.64
J0010+1058       5.64
J0442-0017       5.64
J0700+1709       5.64
J1432-1801       5.61
J1036-3744       5.55
J0124-5113       5.54
J0826-2230       5.53
J1243+1622       5.44
J2158-1501       5.24
J0011-1434       5.24
J2015+3710       5.19
J2007+4029       4.99
J0823+2223       4.94
J1706-4600       4.84
J1048+0055       4.84
J0916+3854       4.84
J2057-0719       4.84
J1730+0024       4.84
J0106-2718       4.77
J1116+0829       4.59
J1146-2859       4.59
J0529-0519       4.44
J1945-5520       4.44
J0518+3306       4.27
J2334+0736       4.23
J2300+1655       4.23
J1408-0752       4.23
J0426+0518       4.23
J1220+0203       4.03
J1551-1755       4.03
J0828-3731       4.03
J1531-5108       4.03
J0455-4615       4.03
J0403-3605       3.63
J1617-7717       0.00
J2328-4035       2.12
J0748+2400       3.53
J0648-1744       3.48
J0510-3142       3.29
J0040+0125       3.29
J0049+0237       3.29
J2236+2828       3.29
J0629-1959       3.28
J1532-1319       3.23
J1507-1652       0.00
J2056-5820       3.23
J0702-1951       3.23
J2333-2343       0.00
J0748-1639       3.23
J2109-4110       3.23
J2222+1213       3.04
J0050-0452       2.96
J0625+1440       0.00
J1007-0207       2.92
J2216-1122       0.00
