#SIDES number counts at 680 microns
# column 1: Flux density in Jy
# column 2: Euclidian-normalized differential counts dN/dS*S^2.5 in gal*Jy^1.5/sr
# column 3: uncertainty
1.0610092271509815e-08 0.0 0.0
1.1904719330480646e-08 1.8539057522978695e-08 1.8539057522978695e-08
1.3357314782084594e-08 8.813484464257259e-08 4.4067422321286296e-08
1.498715368541932e-08 2.3568403313815443e-07 7.85613443793848e-08
1.681586301250015e-08 4.04604775403164e-07 1.122171741548999e-07
1.886770862503897e-08 7.02815373782152e-07 1.6123690475174558e-07
2.116991726768604e-08 1.8904104421228368e-06 2.8828488976555974e-07
2.3753037850389523e-08 5.016015675311307e-06 5.119449560964451e-07
2.6651346813870075e-08 9.377014752582695e-06 7.630906383378699e-07
2.990330295716405e-08 1.6901417673611503e-05 1.1168771172782871e-06
3.355205776252053e-08 3.0525788856209064e-05 1.6363540434276804e-06
3.764602798935346e-08 6.922384708367244e-05 2.6864062652703577e-06
4.2239538135222806e-08 0.00012365685400271513 3.914289317816959e-06
4.7393541288911507e-08 0.00023296685194044913 5.857211299909245e-06
5.317642794088075e-08 0.0004415754320113076 8.791161880663923e-06
5.966493348352674e-08 0.0007654828597142295 1.261861126036824e-05
6.694515644321611e-08 0.0013443948967108512 1.8230864096893908e-05
7.511370095542044e-08 0.0022201361133061936 2.554074885327397e-05
8.427895864290072e-08 0.003655189320419894 3.572718214076595e-05
9.456254690668653e-08 0.006120562431560406 5.040103931731824e-05
1.0610092271509728e-07 0.009675556747782801 6.908468921508e-05
1.1904719330480547e-07 0.015221563102747356 9.446554885411741e-05
1.3357314782084484e-07 0.023424614000220695 0.0001277556298895676
1.4987153685419193e-07 0.035149926539022595 0.00017061061043066855
1.6815863012500014e-07 0.05177336837207317 0.00022573403076630658
1.8867708625038816e-07 0.07448992321605641 0.00029518384759736124
2.1169917267685867e-07 0.10621659605221233 0.00038427312809985177
2.3753037850389331e-07 0.1476474504357825 0.0004939202159185234
2.6651346813869863e-07 0.20384578743335252 0.0006326954284687289
2.9903302957163805e-07 0.2726659306009416 0.0007977361342079734
3.3552057762520254e-07 0.360049609673532 0.0009993669854169267
3.764602798935315e-07 0.47048096602338124 0.0012454171877820017
4.2239538135222457e-07 0.6021230067065265 0.0015359830982287336
4.7393541288911116e-07 0.757996764271976 0.001878786806922562
5.317642794088031e-07 0.9435914899106355 0.0022852611347858836
5.966493348352625e-07 1.1550079072973165 0.0027563623220622723
6.694515644321555e-07 1.4014444546423181 0.0033100287862842218
7.511370095541982e-07 1.6684073176578513 0.0039372670195395474
8.427895864290003e-07 1.980443221020856 0.004676543989710202
9.456254690668574e-07 2.3111060747313235 0.005507490612151557
1.0610092271509641e-06 2.687963319386292 0.006475234410299551
1.190471933048045e-06 3.10434664316518 0.007586281103999747
1.3357314782084375e-06 3.5527376212531787 0.008847598237727631
1.4987153685419071e-06 4.033444168896691 0.010277366659926504
1.6815863012499875e-06 4.590334547281563 0.011952699336352674
1.8867708625038659e-06 5.167912414268531 0.013826154268189032
2.116991726768569e-06 5.842555268064937 0.016026741814730593
2.3753037850389136e-06 6.525679643089998 0.018465314156378025
2.665134681386964e-06 7.32574620087846 0.02132896395296085
2.9903302957163564e-06 8.206044209783627 0.024609951180523178
3.3552057762519977e-06 9.213876038667012 0.02842922420333561
3.764602798935284e-06 10.262539582935942 0.0327092998911071
4.223953813522212e-06 11.397246551688838 0.03757887700382806
4.739354128891074e-06 12.833351609389272 0.043472425573711046
5.317642794087989e-06 14.286531654466177 0.05000428593308928
5.966493348352576e-06 15.90540255032266 0.057519639909392385
6.694515644321501e-06 17.809647657990176 0.06635466940760038
7.51137009554192e-06 19.775841861576207 0.07622743674869585
8.427895864289933e-06 22.079899718305448 0.08780967591731206
9.456254690668497e-06 24.548655774186344 0.10093869464722716
1.0610092271509554e-05 27.262231472671253 0.11596435758314667
1.1904719330480353e-05 30.473025285691158 0.13366004777032017
1.3357314782084267e-05 34.1597051064812 0.15427689244710446
1.498715368541895e-05 37.73031505844859 0.1767620549578078
1.6815863012499738e-05 41.74230285522614 0.20268986262898853
1.8867708625038504e-05 46.45955261844589 0.23312096796917925
2.116991726768552e-05 51.72362577056183 0.26815648633820155
2.375303785038894e-05 58.06000247163504 0.3097293427708311
2.6651346813869425e-05 64.09112331376595 0.3547666342237019
2.9903302957163315e-05 71.9036865617845 0.4096560798736414
3.35520577625197e-05 79.56597075404726 0.46979404654940443
3.764602798935253e-05 88.76532835946497 0.5409604416193279
4.223953813522177e-05 98.8054886682637 0.6222062384797922
4.7393541288910346e-05 110.24975667890419 0.7165271415463993
5.317642794087945e-05 121.77820007451032 0.8209724839240515
5.966493348352528e-05 136.58363671483352 0.9478577428224517
6.694515644321447e-05 151.46313699634965 1.0881713808505287
7.51137009554186e-05 167.8702342818841 1.2489086520025863
8.427895864289865e-05 189.91776755260062 1.4481936013767205
9.45625469066842e-05 208.61627391747075 1.6546948609735626
0.00010610092271509468 234.40125812683848 1.9121580897043038
0.00011904719330480256 258.3973837552644 2.1887082860047413
0.00013357314782084156 290.2721108302985 2.528986328160885
0.00014987153685418826 319.4304262465628 2.892224272171198
0.000168158630124996 362.77486631531156 3.360179062392273
0.0001886770862503835 398.6812683486137 3.8402256282011096
0.00021169917267685348 441.4767827859674 4.405525917271656
0.00023753037850388748 495.0180469572607 5.085742205645734
0.00026651346813869205 546.599230809462 5.826105358585662
0.0002990330295716307 610.3699745011374 6.711821635755511
0.00033552057762519427 682.268924493052 7.736091920088188
0.00037646027989352227 781.4788520168423 9.026147805321868
