#SIDES number counts at 870 microns
# column 1: Flux density in Jy
# column 2: Euclidian-normalized differential counts dN/dS*S^2.5 in gal*Jy^1.5/sr
# column 3: uncertainty
1.0610092271509815e-08 8.735256841088441e-07 1.167297795886649e-07
1.1904719330480646e-08 1.8909838673438268e-06 1.8723530300590195e-07
1.3357314782084594e-08 3.437258941060331e-06 2.752009641910098e-07
1.498715368541932e-08 7.25383079769653e-06 4.3584045221756117e-07
1.681586301250015e-08 1.441015469320499e-05 6.696966823851075e-07
1.886770862503897e-08 2.5005431193512355e-05 9.61747353596629e-07
2.116991726768604e-08 4.580948094632549e-05 1.4191278121401848e-06
2.3753037850389523e-08 8.349576092861946e-05 2.088699868837871e-06
2.6651346813870075e-08 0.00015009433547677072 3.052994185547242e-06
2.990330295716405e-08 0.00025669489375030913 4.35263691293949e-06
3.355205776252053e-08 0.0004488519010839707 6.27473458709594e-06
3.764602798935346e-08 0.0007394649809706153 8.780164080172987e-06
4.2239538135222806e-08 0.0012131505586578998 1.226030226129637e-05
4.7393541288911507e-08 0.001979040153746963 1.707147824465584e-05
5.317642794088075e-08 0.0030721258652772424 2.3188001959212617e-05
5.966493348352674e-08 0.004798412665186914 3.1593127731309044e-05
6.694515644321611e-08 0.0073632691437359316 4.2665728318188716e-05
7.511370095542044e-08 0.011043972484229739 5.6964787804188996e-05
8.427895864290072e-08 0.016177888186404168 7.516310987110952e-05
9.456254690668653e-08 0.02363266735034116 9.903762041336247e-05
1.0610092271509728e-07 0.033491780601794995 0.0001285324970333387
1.1904719330480547e-07 0.04710688023540115 0.00016618277145774192
1.3357314782084484e-07 0.06468925348786368 0.00021230484030973664
1.4987153685419193e-07 0.08687942899185973 0.00026822688431890054
1.6815863012500014e-07 0.11580703728803875 0.0003376068902115352
1.8867708625038816e-07 0.15168895373520777 0.0004212314644184302
2.1169917267685867e-07 0.19650668069930247 0.0005226759122344459
2.3753037850389331e-07 0.25043343278461316 0.0006432650846766327
2.6651346813869863e-07 0.31462129578674364 0.0007860277590517942
2.9903302957163805e-07 0.3886248621491041 0.0009523774778069457
3.3552057762520254e-07 0.47587851222466976 0.0011489255132363608
3.764602798935315e-07 0.5781136657552246 0.0013805446070537819
4.2239538135222457e-07 0.687391081592469 0.0016411405357609134
4.7393541288911116e-07 0.8169425475894673 0.0019504713869078288
5.317642794088031e-07 0.9581420006589831 0.0023028134907121093
5.966493348352625e-07 1.1210067120469316 0.0027154882783618534
6.694515644321555e-07 1.2871474038068333 0.003172181065409456
7.511370095541982e-07 1.479138669164905 0.003707219249371555
8.427895864290003e-07 1.6862020931897614 0.004315177235643544
9.456254690668574e-07 1.9181147510502305 0.005017427647905424
1.0610092271509641e-06 2.172614363107947 0.00582150331566163
1.190471933048045e-06 2.455034692480391 0.006746408628655777
1.3357314782084375e-06 2.757651154021389 0.007794952790717859
1.4987153685419071e-06 3.099271222881448 0.009008938410747047
1.6815863012499875e-06 3.4580636450379685 0.01037433617683708
1.8867708625038659e-06 3.8839796972170624 0.011986221569306881
2.116991726768569e-06 4.319324082049346 0.013780079443874785
2.3753037850389136e-06 4.864333451296306 0.01594246584128209
2.665134681386964e-06 5.356076307352564 0.01823757974350429
2.9903302957163564e-06 6.007752832453903 0.02105716278067201
3.3552057762519977e-06 6.679358385761027 0.024205340662866493
3.764602798935284e-06 7.494419721843132 0.0279519964156957
4.223953813522212e-06 8.355139257626128 0.03217515682613178
4.739354128891074e-06 9.304242502718772 0.03701556106256907
5.317642794087989e-06 10.296250927385097 0.04245055621650071
5.966493348352576e-06 11.531125632678602 0.04897559015176606
6.694515644321501e-06 12.799193194651053 0.05625163152046016
7.51137009554192e-06 14.256940774198064 0.06472275551765212
8.427895864289933e-06 15.8520745209837 0.0744023886617778
9.456254690668497e-06 17.55734403894307 0.08536370093761093
1.0610092271509554e-05 19.51833316099965 0.0981217283395293
1.1904719330480353e-05 21.880850396080167 0.11325983494284736
1.3357314782084267e-05 24.336682167812494 0.13021904654884697
1.498715368541895e-05 26.91603595857852 0.14929641383357944
1.6815863012499738e-05 30.212285927258247 0.17243904900873905
1.8867708625038504e-05 33.29651959524805 0.19735277891391878
2.116991726768552e-05 37.0302512034588 0.2268935525615381
2.375303785038894e-05 41.033100013676666 0.2603820191063476
2.6651346813869425e-05 46.52728451368254 0.3022718327031146
2.9903302957163315e-05 51.563494780884994 0.34690854564329426
3.35520577625197e-05 56.8867287764608 0.39723664601804193
3.764602798935253e-05 62.96486560213265 0.4556097048652759
4.223953813522177e-05 70.96269204389594 0.5273013306324731
4.7393541288910346e-05 78.04797980732562 0.6028713688268139
5.317642794087945e-05 87.92847632521682 0.697603417898252
5.966493348352528e-05 98.26733523805133 0.8039858690600686
6.694515644321447e-05 109.40307314580969 0.9248229250743797
7.51137009554186e-05 122.26736109566133 1.0658573771489748
8.427895864289865e-05 131.75420890045808 1.2062187493813512
9.45625469066842e-05 149.83097722817527 1.4023119405671287
0.00010610092271509468 166.09466936411633 1.6096137496035392
0.00011904719330480256 186.96639511923098 1.861768179441043
0.00013357314782084156 210.4880427176136 2.1535628005722947
0.00014987153685418826 228.40401522565344 2.4456578186502926
0.000168158630124996 255.6479711662637 2.8207526267346514
0.0001886770862503835 281.1261495128469 3.2247380950347524
0.00021169917267685348 323.5239638042157 3.7713518625271156
0.00023753037850388748 346.05283143317894 4.252213182266827
0.00026651346813869205 386.9415822737739 4.901923480674567
0.0002990330295716307 425.709070486404 5.605318282388521
0.00033552057762519427 468.50068471552987 6.410603863780597
